CODIGO_REGIONAL;NOMBRE_REGIONAL;CODIGO_CENTRO;NOMBRE_CENTRO;NIVEL_FORMACION;IDENTIFICADOR_FICHA;IDENTIFICADOR_UNICO_FICHA;NOMBRE_ESTADO_FICHA;CODIGO_PROGRAMA;VERSION_PROGRAMA;NOMBRE_PROGRAMA_FORMACION;DURACION_PROGRAMA;CODIGO_PAIS_CURSO;NOMBRE_PAIS_CURSO;CODIGO_DEPARTAMENTO_CURSO;NOMBRE_DEPARTAMENTO_CURSO;CODIGO_MUNICIPIO_CURSO;NOMBRE_MUNICIPIO_CURSO;CODIGO_PROGRAMA_ESPECIAL;NOMBRE_PROGRAMA_ESPECIAL;CODIGO_CONVENIO;NOMBRE_CONVENIO;APLIACION_COBERTURA;MODALIDAD_FORMACION;NUMERO_CURSOS;Sisben_Nivel_1__Aprend_Masc;Sisben_Nivel_1__Aprend_Fem;Sisben_Nivel_1__Aprend_NoBin;Sisben_Nivel_1__Total_Aprend;Sisben_Nivel_2__Aprend_Masc;Sisben_Nivel_2__Aprend_Fem;Sisben_Nivel_2__Aprend_NoBin;Sisben_Nivel_2__Total_Aprend;Sisben_Nivel_3__Aprend_Masc;Sisben_Nivel_3__Aprend_Fem;Sisben_Nivel_3__Aprend_NoBin;Sisben_Nivel_3__Total_Aprend;Sisben_Nivel_4__Aprend_Masc;Sisben_Nivel_4__Aprend_Fem;Sisben_Nivel_4__Aprend_NoBin;Sisben_Nivel_4__Total_Aprend;Sisben_Nivel_5__Aprend_Masc;Sisben_Nivel_5__Aprend_Fem;Sisben_Nivel_5__Aprend_NoBin;Sisben_Nivel_5__Total_Aprend;Sisben_Nivel_6__Aprend_Masc;Sisben_Nivel_6__Aprend_Fem;Sisben_Nivel_6__Aprend_NoBin;Sisben_Nivel_6__Total_Aprend;No_registra_nivel_Sisben__Aprend_Masc;No_registra_nivel_Sisben__Aprend_Fem;No_registra_nivel_Sisben__Aprend_NoBin;No_registra_nivel_Sisben__Total_Aprend;TOTAL_APRENDICES_MASCULINOS;TOTAL_APRENDICES_FEMENINOS;TOTAL_APRENDICES_NOBINARIO;TOTAL_APRENDICES;TOTAL_HORAS
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;CURSO ESPECIAL;2932536;12932536;Terminada;33110272;1;PRIMEROS AUXILIOS PSICOLOGICOS;48;57;COLOMBIA;19;CAUCA;256;EL TAMBO;0;;8842;ACUERDO NO. 0003 DE 2023  POR EL CUAL SE CREA LA ESTRATEGIA CAMPE-SENA, EL PROGRAMA DE FORMACIÓN ESPECIALIZADA PARA LA ECONOMÍA CAMPESINA - FEEC, EN EL SERVICIO NACIONAL DE APRENDIZAJE;N;PRESENCIAL;1;1;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;5;0;14;10;7;0;17;48:00:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;CURSO ESPECIAL;2959404;12959404;En ejecucion;52520059;1;BASES DEL ENTRENAMIENTO DEPORTIVO;80;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;8722;CONVENIO INTERADMINISTRATIVO 001-2022 CELEBRADO ENTRE EL SERVICIO NACIONAL DE APRENDIZAJE - SENA Y EL INSTITUTO NACIONAL PENITENCIARIO Y CARCELARIO - INPEC;N;PRESENCIAL;1;2;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;14;0;0;14;20;0;0;20;72:00:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;CURSO ESPECIAL;2955266;12955266;Terminada;51340018;1;ACONDICIONAMIENTO CORPORAL PARA LA DANZA;40;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;8842;ACUERDO NO. 0003 DE 2023  POR EL CUAL SE CREA LA ESTRATEGIA CAMPE-SENA, EL PROGRAMA DE FORMACIÓN ESPECIALIZADA PARA LA ECONOMÍA CAMPESINA - FEEC, EN EL SERVICIO NACIONAL DE APRENDIZAJE;N;PRESENCIAL;1;1;5;0;6;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;8;1;14;0;15;40:00:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;CURSO ESPECIAL;2969492;12969492;En ejecucion;63420041;1;ELEMENTOS BASICOS DE LA RECREACION, OCIO Y EL TIEMPO LIBRE;80;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;8722;CONVENIO INTERADMINISTRATIVO 001-2022 CELEBRADO ENTRE EL SERVICIO NACIONAL DE APRENDIZAJE - SENA Y EL INSTITUTO NACIONAL PENITENCIARIO Y CARCELARIO - INPEC;N;PRESENCIAL;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;25;25;0;0;25;15:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;CURSO ESPECIAL;2905632;12905632;Terminada;52520061;1;ESTRUCTURACION DE PLANES DE ENTRENAMIENTO DEPORTIVO;80;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;8722;CONVENIO INTERADMINISTRATIVO 001-2022 CELEBRADO ENTRE EL SERVICIO NACIONAL DE APRENDIZAJE - SENA Y EL INSTITUTO NACIONAL PENITENCIARIO Y CARCELARIO - INPEC;N;PRESENCIAL;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;28;28;0;0;28;80:00:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;TECNÓLOGO;2468084;12468084;En ejecucion;821203;1;IMPLEMENTACION DE REDES Y SERVICIOS DE TELECOMUNICACIONES;3984;57;COLOMBIA;19;CAUCA;1;POPAYÁN;2135;ATENCION A INSTITUCIONES;0;;;PRESENCIAL;1;4;0;0;4;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;1;0;13;20;1;0;21;0:05
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;TECNÓLOGO;2567910;12567910;En ejecucion;228106;102;ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION;3415;57;COLOMBIA;19;CAUCA;698;SANTANDER DE QUILICHAO;2135;ATENCION A INSTITUCIONES;0;;;PRESENCIAL;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;16;0;28;12;16;0;28;0:05
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;TECNÓLOGO;2577438;12577438;En ejecucion;821203;1;IMPLEMENTACION DE REDES Y SERVICIOS DE TELECOMUNICACIONES;3984;57;COLOMBIA;19;CAUCA;1;POPAYÁN;2135;ATENCION A INSTITUCIONES;0;;;PRESENCIAL;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;4;0;22;18;4;0;22;180:05:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;TÉCNICO;2637808;12637808;Terminada por fecha;233101;1;SISTEMAS.;2208;57;COLOMBIA;19;CAUCA;473;MORALES;2135;ATENCION A INSTITUCIONES;0;;;PRESENCIAL;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4;24;0;28;4;27;0;31;0:05
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;TECNÓLOGO;2469533;12469533;Terminada por fecha;921200;1;SUPERVISION EN SISTEMAS DE AGUA Y SANEAMIENTO;3984;57;COLOMBIA;19;CAUCA;1;POPAYÁN;2135;ATENCION A INSTITUCIONES;0;;;PRESENCIAL;1;3;0;0;3;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;4;0;15;16;4;0;20;0:05
