CODIGO_REGIONAL;REGIONAL;CODIGO_SEDE;SEDE;FICHA;FECHA_INICIO;FECHA_FIN;CODIGO_PROGRAMA;VERSION_PROGRAMA;NOMBRE_PROGRAMA;NIVEL_FORMACION;MATRICULADOS;CERTIFICADOS;TOTAL_APRENDICES;CODIGO_PROGRAMA_ESPECIAL;PROGRAMA_ESPECIAL;CODIGO_CONVENIO;AMPLIACION_DE_COBERTURA;CONVENIO;EMPRESA_TIPO_DOCUMENTO;EMPRESA_NUMERO_DOCUMENTO;EMPRESA;TIPO_FICHA
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2934731;2024-03-04 00:00:00.0;2024-03-29 00:00:00.0;21720007;1;AUDITORIA INFORMATICA: CONCEPTUALIZACION;CURSO ESPECIAL;80;20;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906584;2024-02-06 00:00:00.0;2024-03-08 00:00:00.0;51240087;1;ENGLISH DOES WORK - LEVEL 1;CURSO ESPECIAL;80;16;80;1013;PROGRAMA DE BILINGUISMO;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2965192;2024-04-15 00:00:00.0;2024-05-10 00:00:00.0;21710088;1;BASES DE DATOS GENERALIDADES Y SISTEMAS DE GESTION;CURSO ESPECIAL;80;0;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2934108;2024-03-04 00:00:00.0;2024-03-29 00:00:00.0;21450171;1;VARIABLES Y ESTRUCTURAS DE CONTROL EN LA PROGRAMACION ORIENTADA A OBJETOS: JAVA;CURSO ESPECIAL;80;13;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2965193;2024-04-15 00:00:00.0;2024-05-10 00:00:00.0;21710088;1;BASES DE DATOS GENERALIDADES Y SISTEMAS DE GESTION;CURSO ESPECIAL;80;0;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2934746;2024-03-04 00:00:00.0;2024-03-29 00:00:00.0;21730025;1;CONTROLES Y SEGURIDAD INFORMATICA;CURSO ESPECIAL;80;11;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906585;2024-02-06 00:00:00.0;2024-03-08 00:00:00.0;51240087;1;ENGLISH DOES WORK - LEVEL 1;CURSO ESPECIAL;80;18;80;1013;PROGRAMA DE BILINGUISMO;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2934747;2024-03-04 00:00:00.0;2024-03-29 00:00:00.0;21730025;1;CONTROLES Y SEGURIDAD INFORMATICA;CURSO ESPECIAL;80;15;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2934748;2024-03-04 00:00:00.0;2024-03-29 00:00:00.0;21730025;1;CONTROLES Y SEGURIDAD INFORMATICA;CURSO ESPECIAL;80;23;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906831;2024-02-06 00:00:00.0;2024-03-04 00:00:00.0;22810741;2;USO DE EXCEL Y ACCESS PARA EL DESARROLLO DE APLICACIONES ADMINISTRATIVAS EMPRESARIALES;CURSO ESPECIAL;80;12;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
