CODIGO_REGIONAL;NOMBRE_REGIONAL;CODIGO_CENTRO;NOMBRE_CENTRO;CODIGO_PAIS_CURSO;NOMBRE_PAIS_CURSO;CODIGO_DEPARTAMENTO_CURSO;NOMBRE_DEPARTAMENTO_CURSO;CODIGO_MUNICIPIO_CURSO;NOMBRE_MUNICIPIO_CURSO;CODIGO_CONVENIO;NOMBRE_CONVENIO;AMPLIACION_COBERTURA;CODIGO_PROGRAMA_ESPECIAL;NOMBRE_PROGRAMA_ESPECIAL;IDENTIFICADOR_FICHA;IDENTIFICADOR_UNICO_FICHA;CODIGO_PROGRAMA;VERSION_PROGRAMA;NOMBRE_PROGRAMA_FORMACION;MODALIDAD_FORMACION;NIVEL_FORMACION;NUMERO_CURSOS;JOVENES_VULNERABLES___Aprendices_Masc_de_17_años_y_menores;JOVENES_VULNERABLES___Aprendices_Fem_de_17_años_y_menores;JOVENES_VULNERABLES___Aprendices_NoBin_de_17_años_y_menores;JOVENES_VULNERABLES___Total_Aprendices_de_17_años_y_menores;JOVENES_VULNERABLES___Aprendices_Masc_de_18_años_y_mayores;JOVENES_VULNERABLES___Aprendices_Fem_de_18_años_y_mayores;JOVENES_VULNERABLES___Aprendices_NoBin_de_18_años_y_mayores;JOVENES_VULNERABLES___Total_Aprendices_de_18_años_y_mayores;GRAN_TOTAL_APRENDICES;TOTAL_HORAS
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;;0;;2501337;12501337;525203;100;ENTRENAMIENTO DEPORTIVO;PRESENCIAL;TECNÓLOGO;1;0;0;0;0;2;0;0;2;2;4:05
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;;0;;2501338;12501338;525203;100;ENTRENAMIENTO DEPORTIVO;PRESENCIAL;TECNÓLOGO;1;0;0;0;0;8;6;0;14;14;8:05
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;;0;;2501339;12501339;525214;2;ACTIVIDAD FISICA;PRESENCIAL;TECNÓLOGO;1;0;0;0;0;5;1;0;6;6;4:05
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;;0;;2501358;12501358;223219;102;MANTENIMIENTO MECATRÓNICO DE AUTOMOTORES;PRESENCIAL;TECNÓLOGO;1;0;0;0;0;1;0;0;1;1;22:05
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;;0;;2501360;12501360;821222;4;ELECTRICIDAD INDUSTRIAL;PRESENCIAL;TECNÓLOGO;1;0;0;0;0;0;1;0;1;1;110:05:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;698;SANTANDER DE QUILICHAO;0;;;0;;2501367;12501367;525203;100;ENTRENAMIENTO DEPORTIVO;PRESENCIAL;TECNÓLOGO;1;0;0;0;0;1;0;0;1;1;0:05
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;;0;;2556680;12556680;525214;2;ACTIVIDAD FISICA;PRESENCIAL;TECNÓLOGO;1;0;0;0;0;5;5;0;10;10;306:05:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;;0;;2556699;12556699;224312;1;AUTOMATIZACION DE SISTEMAS MECATRONICOS;PRESENCIAL;TECNÓLOGO;1;0;0;0;0;0;1;0;1;1;322:05:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;;0;;2556780;12556780;525203;100;ENTRENAMIENTO DEPORTIVO;PRESENCIAL;TECNÓLOGO;1;0;0;0;0;9;5;0;14;14;6:05
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;;0;;2557707;12557707;621201;102;GESTIÓN EMPRESARIAL;PRESENCIAL;TECNÓLOGO;1;0;0;0;0;1;1;0;2;2;19:05
